IssueDate,Violation,FineAmount,NumberViolations,TotalFineAmount
2024-01-11,BUS LANE VIOLATION,250,145,36250
2024-01-12,BUS LANE VIOLATION,50,1659,82950
2024-01-12,BUS LANE VIOLATION,100,410,41000
2024-01-12,BUS LANE VIOLATION,150,158,23700
2024-01-12,BUS LANE VIOLATION,200,77,15400
2024-01-12,BUS LANE VIOLATION,250,170,42500
2024-01-13,BUS LANE VIOLATION,50,1158,57900
2024-01-13,BUS LANE VIOLATION,100,242,24200
2024-01-13,BUS LANE VIOLATION,150,102,15300
2024-01-13,BUS LANE VIOLATION,200,40,8000
2024-01-13,BUS LANE VIOLATION,250,95,23750
2024-01-14,BUS LANE VIOLATION,50,922,46100
2024-01-14,BUS LANE VIOLATION,100,215,21500
2024-01-14,BUS LANE VIOLATION,150,82,12300
2024-01-14,BUS LANE VIOLATION,200,42,8400
2024-01-14,BUS LANE VIOLATION,250,74,18500
2024-01-15,BUS LANE VIOLATION,50,1261,63050
2024-01-15,BUS LANE VIOLATION,100,278,27800
2024-01-15,BUS LANE VIOLATION,150,109,16350
2024-01-15,BUS LANE VIOLATION,200,63,12600
2024-01-15,BUS LANE VIOLATION,250,101,25250
2024-01-16,BUS LANE VIOLATION,50,1208,60400
2024-01-16,BUS LANE VIOLATION,100,272,27200
2024-01-16,BUS LANE VIOLATION,150,118,17700
2024-01-16,BUS LANE VIOLATION,200,60,12000
2024-01-16,BUS LANE VIOLATION,250,123,30750
2024-01-17,BUS LANE VIOLATION,50,1535,76750
2024-01-17,BUS LANE VIOLATION,100,336,33600
2024-01-17,BUS LANE VIOLATION,150,140,21000
2024-01-17,BUS LANE VIOLATION,200,74,14800
2024-01-17,BUS LANE VIOLATION,250,153,38250
2024-01-18,BUS LANE VIOLATION,50,1350,67500
2024-01-18,BUS LANE VIOLATION,100,372,37200
2024-01-18,BUS LANE VIOLATION,150,114,17100
2024-01-18,BUS LANE VIOLATION,200,60,12000
2024-01-18,BUS LANE VIOLATION,250,153,38250
2024-01-19,BUS LANE VIOLATION,50,1287,64350
2024-01-19,BUS LANE VIOLATION,100,333,33300
2024-01-19,BUS LANE VIOLATION,150,115,17250
2024-01-19,BUS LANE VIOLATION,200,66,13200
2024-01-19,BUS LANE VIOLATION,250,153,38250
2024-01-20,BUS LANE VIOLATION,50,1035,51750
2024-01-20,BUS LANE VIOLATION,100,229,22900
2024-01-20,BUS LANE VIOLATION,150,79,11850
2024-01-20,BUS LANE VIOLATION,200,45,9000
2024-01-20,BUS LANE VIOLATION,250,90,22500
2024-01-21,BUS LANE VIOLATION,50,993,49650
2024-01-21,BUS LANE VIOLATION,100,214,21400
2024-01-21,BUS LANE VIOLATION,150,73,10950
2024-01-21,BUS LANE VIOLATION,200,38,7600
2024-01-21,BUS LANE VIOLATION,250,62,15500
2024-01-22,BUS LANE VIOLATION,50,1270,63500
2024-01-22,BUS LANE VIOLATION,100,322,32200
2024-01-22,BUS LANE VIOLATION,150,135,20250
2024-01-22,BUS LANE VIOLATION,200,62,12400
2024-01-22,BUS LANE VIOLATION,250,143,35750
2024-01-23,BUS LANE VIOLATION,50,1212,60600
2024-01-23,BUS LANE VIOLATION,100,312,31200
2024-01-23,BUS LANE VIOLATION,150,139,20850
2024-01-23,BUS LANE VIOLATION,200,58,11600
2024-01-23,BUS LANE VIOLATION,250,132,33000
2024-01-24,BUS LANE VIOLATION,50,1317,65850
2024-01-24,BUS LANE VIOLATION,100,317,31700
2024-01-24,BUS LANE VIOLATION,150,130,19500
2024-01-24,BUS LANE VIOLATION,200,71,14200
2024-01-24,BUS LANE VIOLATION,250,152,38000
2024-01-25,BUS LANE VIOLATION,50,1446,72300
2024-01-25,BUS LANE VIOLATION,100,336,33600
2024-01-25,BUS LANE VIOLATION,150,139,20850
2024-01-25,BUS LANE VIOLATION,200,69,13800
2024-01-25,BUS LANE VIOLATION,250,137,34250
2024-01-26,BUS LANE VIOLATION,50,1300,65000
2024-01-26,BUS LANE VIOLATION,100,335,33500
2024-01-26,BUS LANE VIOLATION,150,125,18750
2024-01-26,BUS LANE VIOLATION,200,60,12000
2024-01-26,BUS LANE VIOLATION,250,155,38750
2024-01-27,BUS LANE VIOLATION,50,916,45800
2024-01-27,BUS LANE VIOLATION,100,198,19800
2024-01-27,BUS LANE VIOLATION,150,89,13350
2024-01-27,BUS LANE VIOLATION,200,41,8200
2024-01-27,BUS LANE VIOLATION,250,85,21250
2024-01-28,BUS LANE VIOLATION,50,803,40150
2024-01-28,BUS LANE VIOLATION,100,178,17800
2024-01-28,BUS LANE VIOLATION,150,89,13350
2024-01-28,BUS LANE VIOLATION,200,38,7600
2024-01-28,BUS LANE VIOLATION,250,68,17000
2024-01-29,BUS LANE VIOLATION,50,1023,51150
2024-01-29,BUS LANE VIOLATION,100,279,27900
2024-01-29,BUS LANE VIOLATION,115,1,115
2024-01-29,BUS LANE VIOLATION,150,123,18450
2024-01-29,BUS LANE VIOLATION,200,52,10400
2024-01-29,BUS LANE VIOLATION,250,129,32250
2024-01-30,BUS LANE VIOLATION,50,1242,62100
2024-01-30,BUS LANE VIOLATION,100,301,30100
2024-01-30,BUS LANE VIOLATION,150,131,19650
2024-01-30,BUS LANE VIOLATION,200,60,12000
2024-01-30,BUS LANE VIOLATION,250,145,36250
2024-01-31,BUS LANE VIOLATION,50,1238,61900
2024-01-31,BUS LANE VIOLATION,100,305,30500
2024-01-31,BUS LANE VIOLATION,150,140,21000
2024-01-31,BUS LANE VIOLATION,200,57,11400
2024-01-31,BUS LANE VIOLATION,250,120,30000
2024-02-01,BUS LANE VIOLATION,50,1476,73800
2024-02-01,BUS LANE VIOLATION,100,369,36900
2024-02-01,BUS LANE VIOLATION,150,158,23700
2024-02-01,BUS LANE VIOLATION,200,70,14000
2024-02-01,BUS LANE VIOLATION,250,158,39500
2024-02-02,BUS LANE VIOLATION,50,1692,84600
2024-02-02,BUS LANE VIOLATION,100,415,41500
2024-02-02,BUS LANE VIOLATION,150,196,29400
2024-02-02,BUS LANE VIOLATION,200,81,16200
2024-02-02,BUS LANE VIOLATION,250,172,43000
2024-02-03,BUS LANE VIOLATION,50,1331,66550
2024-02-03,BUS LANE VIOLATION,100,306,30600
2024-02-03,BUS LANE VIOLATION,150,117,17550
2024-02-03,BUS LANE VIOLATION,200,69,13800
2024-02-03,BUS LANE VIOLATION,250,95,23750
2024-02-04,BUS LANE VIOLATION,50,1155,57750
2024-02-04,BUS LANE VIOLATION,100,240,24000
2024-02-04,BUS LANE VIOLATION,115,1,115
2024-02-04,BUS LANE VIOLATION,150,110,16500
2024-02-04,BUS LANE VIOLATION,200,45,9000
2024-02-04,BUS LANE VIOLATION,250,92,23000
2024-02-05,BUS LANE VIOLATION,50,1440,72000
2024-02-05,BUS LANE VIOLATION,100,356,35600
2024-02-05,BUS LANE VIOLATION,150,142,21300
2024-02-05,BUS LANE VIOLATION,200,64,12800
2024-02-05,BUS LANE VIOLATION,250,154,38500
2024-02-06,BUS LANE VIOLATION,50,1422,71100
2024-02-06,BUS LANE VIOLATION,100,356,35600
2024-02-06,BUS LANE VIOLATION,150,146,21900
2024-02-06,BUS LANE VIOLATION,200,78,15600
2024-02-06,BUS LANE VIOLATION,250,156,39000
2024-02-07,BUS LANE VIOLATION,50,1541,77050
2024-02-07,BUS LANE VIOLATION,100,333,33300
2024-02-07,BUS LANE VIOLATION,150,147,22050
2024-02-07,BUS LANE VIOLATION,200,80,16000
2024-02-07,BUS LANE VIOLATION,250,145,36250
2024-02-08,BUS LANE VIOLATION,50,1364,68200
2024-02-08,BUS LANE VIOLATION,100,342,34200
2024-02-08,BUS LANE VIOLATION,150,175,26250
2024-02-08,BUS LANE VIOLATION,200,76,15200
2024-02-08,BUS LANE VIOLATION,250,149,37250
2024-02-09,BUS LANE VIOLATION,50,1419,70950
2024-02-09,BUS LANE VIOLATION,100,312,31200
2024-02-09,BUS LANE VIOLATION,150,166,24900
2024-02-09,BUS LANE VIOLATION,200,72,14400
2024-02-09,BUS LANE VIOLATION,250,153,38250
2024-02-10,BUS LANE VIOLATION,50,1255,62750
2024-02-10,BUS LANE VIOLATION,100,232,23200
2024-02-10,BUS LANE VIOLATION,150,102,15300
2024-02-10,BUS LANE VIOLATION,200,48,9600
2024-02-10,BUS LANE VIOLATION,250,107,26750
2024-02-11,BUS LANE VIOLATION,50,990,49500
2024-02-11,BUS LANE VIOLATION,100,205,20500
2024-02-11,BUS LANE VIOLATION,150,80,12000
2024-02-11,BUS LANE VIOLATION,200,42,8400
2024-02-11,BUS LANE VIOLATION,250,76,19000
2024-02-12,BUS LANE VIOLATION,50,1486,74300
2024-02-12,BUS LANE VIOLATION,100,382,38200
2024-02-12,BUS LANE VIOLATION,150,138,20700
2024-02-12,BUS LANE VIOLATION,200,83,16600
2024-02-12,BUS LANE VIOLATION,250,153,38250
2024-02-13,BUS LANE VIOLATION,50,832,41600
2024-02-13,BUS LANE VIOLATION,100,221,22100
2024-02-13,BUS LANE VIOLATION,150,94,14100
2024-02-13,BUS LANE VIOLATION,200,52,10400
2024-02-13,BUS LANE VIOLATION,250,98,24500
2024-02-14,BUS LANE VIOLATION,50,1763,88150
2024-02-14,BUS LANE VIOLATION,100,447,44700
2024-02-14,BUS LANE VIOLATION,150,197,29550
2024-02-14,BUS LANE VIOLATION,200,98,19600
2024-02-14,BUS LANE VIOLATION,250,169,42250
2024-02-15,BUS LANE VIOLATION,50,1415,70750
2024-02-15,BUS LANE VIOLATION,100,395,39500
2024-02-15,BUS LANE VIOLATION,150,152,22800
2024-02-15,BUS LANE VIOLATION,200,78,15600
2024-02-15,BUS LANE VIOLATION,250,164,41000
2024-02-16,BUS LANE VIOLATION,50,1701,85050
2024-02-16,BUS LANE VIOLATION,100,416,41600
2024-02-16,BUS LANE VIOLATION,150,166,24900
2024-02-16,BUS LANE VIOLATION,200,95,19000
2024-02-16,BUS LANE VIOLATION,250,197,49250
2024-02-17,BUS LANE VIOLATION,50,1071,53550
2024-02-17,BUS LANE VIOLATION,100,242,24200
2024-02-17,BUS LANE VIOLATION,150,99,14850
2024-02-17,BUS LANE VIOLATION,200,49,9800
2024-02-17,BUS LANE VIOLATION,250,93,23250
2024-02-18,BUS LANE VIOLATION,50,1140,57000
2024-02-18,BUS LANE VIOLATION,100,224,22400
2024-02-18,BUS LANE VIOLATION,150,98,14700
2024-02-18,BUS LANE VIOLATION,200,38,7600
2024-02-18,BUS LANE VIOLATION,250,81,20250
2024-02-19,BUS LANE VIOLATION,50,1448,72400
2024-02-19,BUS LANE VIOLATION,100,377,37700
2024-02-19,BUS LANE VIOLATION,150,135,20250
2024-02-19,BUS LANE VIOLATION,200,67,13400
2024-02-19,BUS LANE VIOLATION,250,131,32750
2024-02-20,BUS LANE VIOLATION,50,1339,66950
2024-02-20,BUS LANE VIOLATION,100,303,30300
2024-02-20,BUS LANE VIOLATION,150,121,18150
2024-02-20,BUS LANE VIOLATION,200,72,14400
2024-02-20,BUS LANE VIOLATION,250,141,35250
2024-02-21,BUS LANE VIOLATION,50,1394,69700
2024-02-21,BUS LANE VIOLATION,100,369,36900
2024-02-21,BUS LANE VIOLATION,150,135,20250
2024-02-21,BUS LANE VIOLATION,200,72,14400
2024-02-21,BUS LANE VIOLATION,250,167,41750
2024-02-22,BUS LANE VIOLATION,50,1525,76250
2024-02-22,BUS LANE VIOLATION,100,304,30400
2024-02-22,BUS LANE VIOLATION,150,152,22800
2024-02-22,BUS LANE VIOLATION,200,66,13200
2024-02-22,BUS LANE VIOLATION,250,165,41250
2024-02-23,BUS LANE VIOLATION,50,1235,61750
2024-02-23,BUS LANE VIOLATION,100,272,27200
2024-02-23,BUS LANE VIOLATION,150,136,20400
2024-02-23,BUS LANE VIOLATION,200,75,15000
2024-02-23,BUS LANE VIOLATION,250,148,37000
2024-02-24,BUS LANE VIOLATION,50,1068,53400
2024-02-24,BUS LANE VIOLATION,100,266,26600
2024-02-24,BUS LANE VIOLATION,150,82,12300
2024-02-24,BUS LANE VIOLATION,200,48,9600
2024-02-24,BUS LANE VIOLATION,250,117,29250
2024-02-25,BUS LANE VIOLATION,50,962,48100
2024-02-25,BUS LANE VIOLATION,100,228,22800
2024-02-25,BUS LANE VIOLATION,150,99,14850
2024-02-25,BUS LANE VIOLATION,200,53,10600
2024-02-25,BUS LANE VIOLATION,250,76,19000
2024-02-26,BUS LANE VIOLATION,50,1391,69550
2024-02-26,BUS LANE VIOLATION,100,378,37800
2024-02-26,BUS LANE VIOLATION,150,162,24300
2024-02-26,BUS LANE VIOLATION,200,73,14600
2024-02-26,BUS LANE VIOLATION,250,172,43000
2024-02-27,BUS LANE VIOLATION,50,1446,72300
2024-02-27,BUS LANE VIOLATION,100,359,35900
2024-02-27,BUS LANE VIOLATION,150,144,21600
2024-02-27,BUS LANE VIOLATION,200,89,17800
2024-02-27,BUS LANE VIOLATION,250,185,46250
2024-02-28,BUS LANE VIOLATION,50,1630,81500
2024-02-28,BUS LANE VIOLATION,100,376,37600
2024-02-28,BUS LANE VIOLATION,150,166,24900
2024-02-28,BUS LANE VIOLATION,200,81,16200
2024-02-28,BUS LANE VIOLATION,250,193,48250
2024-02-29,BUS LANE VIOLATION,50,1655,82750
2024-02-29,BUS LANE VIOLATION,100,379,37900
2024-02-29,BUS LANE VIOLATION,150,173,25950
2024-02-29,BUS LANE VIOLATION,200,84,16800
2024-02-29,BUS LANE VIOLATION,250,222,55500
2024-03-01,BUS LANE VIOLATION,50,1721,86050
2024-03-01,BUS LANE VIOLATION,100,447,44700
2024-03-01,BUS LANE VIOLATION,150,192,28800
2024-03-01,BUS LANE VIOLATION,200,84,16800
2024-03-01,BUS LANE VIOLATION,250,197,49250
2024-03-02,BUS LANE VIOLATION,50,1161,58050
2024-03-02,BUS LANE VIOLATION,100,266,26600
2024-03-02,BUS LANE VIOLATION,150,100,15000
2024-03-02,BUS LANE VIOLATION,200,60,12000
2024-03-02,BUS LANE VIOLATION,250,101,25250
2024-03-03,BUS LANE VIOLATION,50,1082,54100
2024-03-03,BUS LANE VIOLATION,100,224,22400
2024-03-03,BUS LANE VIOLATION,150,84,12600
2024-03-03,BUS LANE VIOLATION,200,47,9400
2024-03-03,BUS LANE VIOLATION,250,101,25250
2024-03-04,BUS LANE VIOLATION,50,1384,69200
2024-03-04,BUS LANE VIOLATION,100,353,35300
2024-03-04,BUS LANE VIOLATION,150,154,23100
2024-03-04,BUS LANE VIOLATION,200,75,15000
2024-03-04,BUS LANE VIOLATION,250,155,38750
2024-03-05,BUS LANE VIOLATION,50,1356,67800
2024-03-05,BUS LANE VIOLATION,100,343,34300
2024-03-05,BUS LANE VIOLATION,150,145,21750
2024-03-05,BUS LANE VIOLATION,200,76,15200
2024-03-05,BUS LANE VIOLATION,250,177,44250
2024-03-06,BUS LANE VIOLATION,50,1638,81900
2024-03-06,BUS LANE VIOLATION,100,432,43200
2024-03-06,BUS LANE VIOLATION,150,153,22950
2024-03-06,BUS LANE VIOLATION,200,83,16600
2024-03-06,BUS LANE VIOLATION,250,191,47750
2024-03-07,BUS LANE VIOLATION,50,1522,76100
2024-03-07,BUS LANE VIOLATION,100,388,38800
2024-03-07,BUS LANE VIOLATION,150,167,25050
2024-03-07,BUS LANE VIOLATION,200,80,16000
2024-03-07,BUS LANE VIOLATION,250,176,44000
2024-03-08,BUS LANE VIOLATION,50,1724,86200
2024-03-08,BUS LANE VIOLATION,100,432,43200
2024-03-08,BUS LANE VIOLATION,150,156,23400
2024-03-08,BUS LANE VIOLATION,200,92,18400
2024-03-08,BUS LANE VIOLATION,250,191,47750
2024-03-09,BUS LANE VIOLATION,50,1270,63500
2024-03-09,BUS LANE VIOLATION,100,254,25400
2024-03-09,BUS LANE VIOLATION,150,113,16950
2024-03-09,BUS LANE VIOLATION,200,61,12200
2024-03-09,BUS LANE VIOLATION,250,86,21500
2024-03-10,BUS LANE VIOLATION,50,1140,57000
2024-03-10,BUS LANE VIOLATION,100,258,25800
2024-03-10,BUS LANE VIOLATION,150,98,14700
2024-03-10,BUS LANE VIOLATION,200,55,11000
2024-03-10,BUS LANE VIOLATION,250,112,28000
2024-03-11,BUS LANE VIOLATION,50,1390,69500
2024-03-11,BUS LANE VIOLATION,100,371,37100
2024-03-11,BUS LANE VIOLATION,150,172,25800
2024-03-11,BUS LANE VIOLATION,200,94,18800
2024-03-11,BUS LANE VIOLATION,250,178,44500
2024-03-12,BUS LANE VIOLATION,50,1623,81150
2024-03-12,BUS LANE VIOLATION,100,392,39200
2024-03-12,BUS LANE VIOLATION,150,174,26100
2024-03-12,BUS LANE VIOLATION,200,86,17200
2024-03-12,BUS LANE VIOLATION,250,235,58750
2024-03-13,BUS LANE VIOLATION,50,1676,83800
2024-03-13,BUS LANE VIOLATION,100,470,47000
2024-03-13,BUS LANE VIOLATION,150,149,22350
2024-03-13,BUS LANE VIOLATION,200,88,17600
2024-03-13,BUS LANE VIOLATION,250,265,66250
2024-03-14,BUS LANE VIOLATION,50,1711,85550
2024-03-14,BUS LANE VIOLATION,100,426,42600
2024-03-14,BUS LANE VIOLATION,150,211,31650
2024-03-14,BUS LANE VIOLATION,200,94,18800
2024-03-14,BUS LANE VIOLATION,250,244,61000
2024-03-15,BUS LANE VIOLATION,50,1805,90250
2024-03-15,BUS LANE VIOLATION,100,456,45600
2024-03-15,BUS LANE VIOLATION,150,227,34050
2024-03-15,BUS LANE VIOLATION,200,92,18400
2024-03-15,BUS LANE VIOLATION,250,249,62250
2024-03-16,BUS LANE VIOLATION,50,1264,63200
2024-03-16,BUS LANE VIOLATION,100,289,28900
2024-03-16,BUS LANE VIOLATION,150,133,19950
2024-03-16,BUS LANE VIOLATION,200,69,13800
2024-03-16,BUS LANE VIOLATION,250,140,35000
2024-03-17,BUS LANE VIOLATION,50,1077,53850
2024-03-17,BUS LANE VIOLATION,100,222,22200
2024-03-17,BUS LANE VIOLATION,150,111,16650
2024-03-17,BUS LANE VIOLATION,200,52,10400
2024-03-17,BUS LANE VIOLATION,250,135,33750
2024-03-18,BUS LANE VIOLATION,50,1322,66100
2024-03-18,BUS LANE VIOLATION,100,388,38800
2024-03-18,BUS LANE VIOLATION,150,156,23400
2024-03-18,BUS LANE VIOLATION,200,85,17000
2024-03-18,BUS LANE VIOLATION,250,234,58500
2024-03-19,BUS LANE VIOLATION,50,1371,68550
2024-03-19,BUS LANE VIOLATION,100,327,32700
2024-03-19,BUS LANE VIOLATION,150,157,23550
2024-03-19,BUS LANE VIOLATION,200,100,20000
2024-03-19,BUS LANE VIOLATION,250,211,52750
2024-03-20,BUS LANE VIOLATION,50,1335,66750
2024-03-20,BUS LANE VIOLATION,100,329,32900
2024-03-20,BUS LANE VIOLATION,150,150,22500
2024-03-20,BUS LANE VIOLATION,200,76,15200
2024-03-20,BUS LANE VIOLATION,250,178,44500
2024-03-21,BUS LANE VIOLATION,50,1370,68500
2024-03-21,BUS LANE VIOLATION,100,336,33600
2024-03-21,BUS LANE VIOLATION,150,142,21300
2024-03-21,BUS LANE VIOLATION,200,87,17400
2024-03-21,BUS LANE VIOLATION,250,198,49500
2024-03-22,BUS LANE VIOLATION,50,1569,78450
2024-03-22,BUS LANE VIOLATION,100,407,40700
2024-03-22,BUS LANE VIOLATION,150,180,27000
2024-03-22,BUS LANE VIOLATION,200,95,19000
2024-03-22,BUS LANE VIOLATION,250,197,49250
2024-03-23,BUS LANE VIOLATION,50,949,47450
2024-03-23,BUS LANE VIOLATION,100,226,22600
2024-03-23,BUS LANE VIOLATION,150,100,15000
2024-03-23,BUS LANE VIOLATION,200,55,11000
2024-03-23,BUS LANE VIOLATION,250,89,22250
2024-03-24,BUS LANE VIOLATION,50,1099,54950
2024-03-24,BUS LANE VIOLATION,100,230,23000
2024-03-24,BUS LANE VIOLATION,150,94,14100
2024-03-24,BUS LANE VIOLATION,200,42,8400
2024-03-24,BUS LANE VIOLATION,250,74,18500
2024-03-25,BUS LANE VIOLATION,50,1346,67300
2024-03-25,BUS LANE VIOLATION,100,337,33700
2024-03-25,BUS LANE VIOLATION,150,148,22200
2024-03-25,BUS LANE VIOLATION,200,59,11800
2024-03-25,BUS LANE VIOLATION,250,167,41750
2024-03-26,BUS LANE VIOLATION,50,1225,61250
2024-03-26,BUS LANE VIOLATION,100,339,33900
2024-03-26,BUS LANE VIOLATION,150,116,17400
2024-03-26,BUS LANE VIOLATION,200,64,12800
2024-03-26,BUS LANE VIOLATION,250,156,39000
2024-03-27,BUS LANE VIOLATION,50,1366,68300
2024-03-27,BUS LANE VIOLATION,100,375,37500
2024-03-27,BUS LANE VIOLATION,150,144,21600
2024-03-27,BUS LANE VIOLATION,200,68,13600
2024-03-27,BUS LANE VIOLATION,250,169,42250
2024-03-28,BUS LANE VIOLATION,50,1554,77700
2024-03-28,BUS LANE VIOLATION,100,405,40500
2024-03-28,BUS LANE VIOLATION,150,167,25050
2024-03-28,BUS LANE VIOLATION,200,94,18800
2024-03-28,BUS LANE VIOLATION,250,181,45250
2024-03-29,BUS LANE VIOLATION,50,1562,78100
2024-03-29,BUS LANE VIOLATION,100,375,37500
2024-03-29,BUS LANE VIOLATION,150,168,25200
2024-03-29,BUS LANE VIOLATION,200,73,14600
2024-03-29,BUS LANE VIOLATION,250,155,38750
2024-03-30,BUS LANE VIOLATION,50,1216,60800
2024-03-30,BUS LANE VIOLATION,100,245,24500
2024-03-30,BUS LANE VIOLATION,150,126,18900
2024-03-30,BUS LANE VIOLATION,200,57,11400
2024-03-30,BUS LANE VIOLATION,250,117,29250
2024-03-31,BUS LANE VIOLATION,50,1009,50450
2024-03-31,BUS LANE VIOLATION,100,246,24600
2024-03-31,BUS LANE VIOLATION,115,1,115
2024-03-31,BUS LANE VIOLATION,150,104,15600
2024-03-31,BUS LANE VIOLATION,200,51,10200
2024-03-31,BUS LANE VIOLATION,250,96,24000
2024-04-01,BUS LANE VIOLATION,50,1041,52050
2024-04-01,BUS LANE VIOLATION,100,255,25500
2024-04-01,BUS LANE VIOLATION,150,111,16650
2024-04-01,BUS LANE VIOLATION,200,66,13200
2024-04-01,BUS LANE VIOLATION,250,142,35500
2024-04-02,BUS LANE VIOLATION,50,1217,60850
2024-04-02,BUS LANE VIOLATION,100,303,30300
2024-04-02,BUS LANE VIOLATION,150,148,22200
2024-04-02,BUS LANE VIOLATION,200,79,15800
2024-04-02,BUS LANE VIOLATION,250,146,36500
2024-04-03,BUS LANE VIOLATION,50,1283,64150
2024-04-03,BUS LANE VIOLATION,100,347,34700
2024-04-03,BUS LANE VIOLATION,150,164,24600
2024-04-03,BUS LANE VIOLATION,200,83,16600
2024-04-03,BUS LANE VIOLATION,250,156,39000
2024-04-04,BUS LANE VIOLATION,50,1315,65750
2024-04-04,BUS LANE VIOLATION,100,323,32300
2024-04-04,BUS LANE VIOLATION,115,1,115
2024-04-04,BUS LANE VIOLATION,150,172,25800
2024-04-04,BUS LANE VIOLATION,200,66,13200
2024-04-04,BUS LANE VIOLATION,250,212,53000
2024-04-05,BUS LANE VIOLATION,50,1606,80300
2024-04-05,BUS LANE VIOLATION,100,407,40700
2024-04-05,BUS LANE VIOLATION,150,182,27300
2024-04-05,BUS LANE VIOLATION,200,96,19200
2024-04-05,BUS LANE VIOLATION,250,196,49000
2024-04-06,BUS LANE VIOLATION,50,1124,56200
2024-04-06,BUS LANE VIOLATION,100,245,24500
2024-04-06,BUS LANE VIOLATION,150,130,19500
2024-04-06,BUS LANE VIOLATION,200,47,9400
2024-04-06,BUS LANE VIOLATION,250,93,23250
2024-04-07,BUS LANE VIOLATION,50,1103,55150
2024-04-07,BUS LANE VIOLATION,100,231,23100
2024-04-07,BUS LANE VIOLATION,150,98,14700
2024-04-07,BUS LANE VIOLATION,200,52,10400
2024-04-07,BUS LANE VIOLATION,250,114,28500
2024-04-08,BUS LANE VIOLATION,50,992,49600
2024-04-08,BUS LANE VIOLATION,100,254,25400
2024-04-08,BUS LANE VIOLATION,150,119,17850
2024-04-08,BUS LANE VIOLATION,200,68,13600
2024-04-08,BUS LANE VIOLATION,250,128,32000
2024-04-09,BUS LANE VIOLATION,50,1299,64950
2024-04-09,BUS LANE VIOLATION,100,369,36900
2024-04-09,BUS LANE VIOLATION,150,165,24750
2024-04-09,BUS LANE VIOLATION,200,70,14000
2024-04-09,BUS LANE VIOLATION,250,191,47750
2024-04-10,BUS LANE VIOLATION,50,1160,58000
2024-04-10,BUS LANE VIOLATION,100,312,31200
2024-04-10,BUS LANE VIOLATION,150,130,19500
2024-04-10,BUS LANE VIOLATION,200,74,14800
2024-04-10,BUS LANE VIOLATION,250,160,40000
2024-04-11,BUS LANE VIOLATION,50,1268,63400
2024-04-11,BUS LANE VIOLATION,100,307,30700
2024-04-11,BUS LANE VIOLATION,150,137,20550
2024-04-11,BUS LANE VIOLATION,200,79,15800
2024-04-11,BUS LANE VIOLATION,250,159,39750
2024-04-12,BUS LANE VIOLATION,50,1222,61100
